#Top: zusys_wrapper   Floorplan: impl_1   Part: xczu15eg-ffvc900-1-e
#Generated by: Hossam   on: Thu Jan  9 11:36:26 2020
#Build: Vivado v2018.2   by: xbuild   on: Thu Jun 14 20:03:12 MDT 2018
#Package Version: PRODUCTION 1.1 4/25/2017
#Package Pin Delay Version: PRODUCTION 1.0 1/22/2016

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to a 1.8V standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
64,AH13,IOB_X1Y3,IO_L2N_T0L_N3_64,91.445,92.364,,,,,,,,,,,,,,,,,,,,
64,AG13,IOB_X1Y2,IO_L2P_T0L_N2_64,93.024,93.959,,,,,,,,,,,,,,,,,,,,
64,AJ12,IOB_X1Y5,IO_L3N_T0L_N5_AD15N_64,96.309,97.276,,,,,,,,,,,,,,,,,,,,
64,AH12,IOB_X1Y4,IO_L3P_T0L_N4_AD15P_64,96.364,97.333,,,,,,,,,,,,,,,,,,,,
64,AK12,IOB_X1Y7,IO_L4N_T0U_N7_DBC_AD7N_64,96.341,97.309,,,,,,,,,,,,,,,,,,,,
64,AK13,IOB_X1Y6,IO_L4P_T0U_N6_DBC_AD7P_64,97.643,98.625,,,,,,,,,,,,,,,,,,,,
64,AK11,IOB_X1Y9,IO_L5N_T0U_N9_AD14N_64,99.500,100.500,,,,,,,,,,,,,,,,,,,,
64,AJ11,IOB_X1Y8,IO_L5P_T0U_N8_AD14P_64,98.327,99.316,,,,,,,,,,,,,,,,,,,,
64,AK10,IOB_X1Y11,IO_L6N_T0U_N11_AD6N_64,92.994,93.928,,,,,,,,,,,,,,,,,,,,
64,AJ10,IOB_X1Y10,IO_L6P_T0U_N10_AD6P_64,89.454,90.353,,,,,,,,,,,,,,,,,,,,
64,AF7,IOB_X1Y14,IO_L7N_T1L_N1_QBC_AD13N_64,70.344,71.051,,,,,,,,,,,,,,,,,,,,
64,AF8,IOB_X1Y13,IO_L7P_T1L_N0_QBC_AD13P_64,70.481,71.190,,,,,,,,,,,,,,,,,,,,
64,AG10,IOB_X1Y16,IO_L8N_T1L_N3_AD5N_64,79.990,80.794,,,,,,,,,,,,,,,,,,,,
64,AF10,IOB_X1Y15,IO_L8P_T1L_N2_AD5P_64,83.817,84.659,,,,,,,,,,,,,,,,,,,,
64,AJ9,IOB_X1Y18,IO_L9N_T1L_N5_AD12N_64,89.364,90.262,,,,,,,,,,,,,,,,,,,,
64,AH9,IOB_X1Y17,IO_L9P_T1L_N4_AD12P_64,91.605,92.525,,,,,,,,,,,,,,,,,,,,
64,AK8,IOB_X1Y20,IO_L10N_T1U_N7_QBC_AD4N_64,97.061,98.037,,,,,,,,,,,,,,,,,,,,
64,AK9,IOB_X1Y19,IO_L10P_T1U_N6_QBC_AD4P_64,96.007,96.972,,,,,,,,,,,,,,,,,,,,
64,AJ7,IOB_X1Y22,IO_L11N_T1U_N9_GC_64,85.744,86.606,,,,,,,,,,,,,,,,,,,,
64,AH7,IOB_X1Y21,IO_L11P_T1U_N8_GC_64,86.695,87.566,,,,,,,,,,,,,,,,,,,,
64,AH8,IOB_X1Y24,IO_L12N_T1U_N11_GC_64,81.023,81.837,,,,,,,,,,,,,,,,,,,,
64,AG8,IOB_X1Y23,IO_L12P_T1U_N10_GC_64,82.350,83.178,,,,,,,,,,,,,,,,,,,,
64,AG5,IOB_X1Y27,IO_L13N_T2L_N1_GC_QBC_64,87.827,88.709,,,,,,,,,,,,,,,,,,,,
64,AG6,IOB_X1Y26,IO_L13P_T2L_N0_GC_QBC_64,89.111,90.007,,,,,,,,,,,,,,,,,,,,
64,AJ6,IOB_X1Y29,IO_L14N_T2L_N3_GC_64,89.287,90.185,,,,,,,,,,,,,,,,,,,,
