Sample in Buffer,Sample in Window,TRIGGER,zusys_i/system_ila_0/U0/probe0_1[0:15]
504,504,0,2084
505,505,0,0500
506,506,0,0850
507,507,0,0306
508,508,0,40f3
509,509,0,f210
510,510,0,8002
511,511,0,4802
512,512,1,1804
513,513,0,8b60
514,514,0,de48
515,515,0,0ac6
516,516,0,6190
517,517,0,3b26
518,518,0,f7c8
519,519,0,3371
520,520,0,9c2c
521,521,0,1011
522,522,0,3cb8
523,523,0,0441
524,524,0,5140
525,525,0,4181
526,526,0,0402
527,527,0,0010
528,528,0,04b3
529,529,0,13c1
530,530,0,0099
531,531,0,1154
532,532,0,3003
533,533,0,0110
534,534,0,1000
535,535,0,1104
536,536,0,8210
537,537,0,2046
538,538,0,334c
539,539,0,3361
540,540,0,5898
541,541,0,6f5c
542,542,0,a018
543,543,0,2ad0
544,544,0,6033
545,545,0,2690
546,546,0,674c
547,547,0,4406
548,548,0,6008
549,549,0,2080
550,550,0,4802
551,551,0,0140
552,552,0,2008
553,553,0,6404
554,554,0,0448
555,555,0,0000
556,556,0,1100
557,557,0,4020
558,558,0,0200
559,559,0,8500
560,560,0,ecc2
561,561,0,c010
562,562,0,4c78
563,563,0,0cc0
564,564,0,e78c
565,565,0,c89b
566,566,0,c837
567,567,0,e64c
568,568,0,2041
569,569,0,0112
570,570,0,4002
571,571,0,8201
572,572,0,0808
573,573,0,3000
574,574,0,0140
575,575,0,0982
576,576,0,1841
577,577,0,1100
578,578,0,0430
579,579,0,0108
580,580,0,8c02
581,581,0,7040
582,582,0,8642
583,583,0,0601
584,584,0,1280
585,585,0,103d
586,586,0,3002
587,587,0,0012
588,588,0,3004
589,589,0,0c44
590,590,0,919a
591,591,0,72e7
592,592,0,f3a2
593,593,0,8d3b
594,594,0,8944
595,595,0,054c
596,596,0,9808
597,597,0,0562
598,598,0,c28f
599,599,0,60c4
600,600,0,a378
601,601,0,3e94
602,602,0,b962
603,603,0,0264
604,604,0,8004
605,605,0,0340
606,606,0,0004
607,607,0,8200
608,608,0,0342
609,609,0,0040
610,610,0,09c0
611,611,0,8a00
612,612,0,0820
613,613,0,0000
614,614,0,2012
615,615,0,8701
616,616,0,0008
617,617,0,8088
618,618,0,0101
619,619,0,2002
620,620,0,9140
621,621,0,d2d8
622,622,0,48df
623,623,0,3cf0
624,624,0,2530
625,625,0,0265
626,626,0,e142
627,627,0,8692
628,628,0,f6d0
629,629,0,24d8
630,630,0,3b0c
631,631,0,2460
632,632,0,5cb8
633,633,0,58bf
634,634,0,82c8
635,635,0,0078
636,636,0,1160
637,637,0,8806
638,638,0,0563
639,639,0,20c4
640,640,0,4209
641,641,0,0148
642,642,0,2400
643,643,0,88a0
644,644,0,5702
645,645,0,6efb
646,646,0,f713
647,647,0,3099
648,648,0,2184
649,649,0,7b5d
650,650,0,9cee
651,651,0,79c2
652,652,0,ec98
653,653,0,1b78
654,654,0,4498
655,655,0,e070
656,656,0,e570
657,657,0,8192
658,658,0,3ff2
659,659,0,7309
660,660,0,3b03
661,661,0,2566
662,662,0,783b
663,663,0,69e5
664,664,0,81b8
665,665,0,6c78
666,666,0,3c6e
667,667,0,c49b
668,668,0,c2d6
669,669,0,250b
670,670,0,c803
671,671,0,59ef
672,672,0,7186
673,673,0,288e
674,674,0,68ce
675,675,0,03c2
676,676,0,333b
677,677,0,0818
678,678,0,051c
679,679,0,b560
680,680,0,ea4f
681,681,0,e698
682,682,0,44f7
683,683,0,2820
684,684,0,0182
685,685,0,a202
686,686,0,20a0
687,687,0,810a
688,688,0,0288
689,689,0,a088
690,690,0,0222
691,691,0,2400
692,692,0,0600
693,693,0,2610
694,694,0,8800
695,695,0,00e6
696,696,0,2088
697,697,0,cf3c
698,698,0,831a
699,699,0,2207
700,700,0,a082
701,701,0,2066
702,702,0,1198
703,703,0,2882
704,704,0,c866
705,705,0,7642
706,706,0,e602
707,707,0,1378
708,708,0,f918
709,709,0,288e
710,710,0,1110
711,711,0,2092
712,712,0,0010
713,713,0,5812
714,714,0,6008
715,715,0,1104
716,716,0,2200
717,717,0,0200
718,718,0,0410
719,719,0,0081
720,720,0,8402
721,721,0,8002
722,722,0,2020
723,723,0,0148
724,724,0,2009
725,725,0,3c40
726,726,0,2146
727,727,0,8884
728,728,0,12d8
729,729,0,289c
730,730,0,8495
731,731,0,7c12
732,732,0,1150
733,733,0,0656
734,734,0,9811
735,735,0,3048
736,736,0,8861
737,737,0,1850
738,738,0,8741
739,739,0,11f9
740,740,0,8178
741,741,0,0706
742,742,0,6044
743,743,0,0746
744,744,0,9960
745,745,0,81c1
746,746,0,0110
747,747,0,f8dd
748,748,0,9744
749,749,0,8c20
750,750,0,1024
751,751,0,37bf
752,752,0,0c40
753,753,0,f002
754,754,0,7922
755,755,0,81d9
756,756,0,0d7d
757,757,0,24f3
758,758,0,c8d0
759,759,0,5532
760,760,0,8c91
761,761,0,2803
762,762,0,040c
763,763,0,c888
764,764,0,1950
765,765,0,d144
766,766,0,04b9
767,767,0,d812
768,768,0,d878
769,769,0,2324
770,770,0,2448
771,771,0,8302
772,772,0,0008
773,773,0,0640
774,774,0,1101
775,775,0,3044
776,776,0,8104
777,777,0,be44
778,778,0,8802
779,779,0,8164
780,780,0,1004
781,781,0,3020
782,782,0,4ff1
783,783,0,1441
784,784,0,9544
785,785,0,0c10
786,786,0,c03b
787,787,0,0541
788,788,0,6000
789,789,0,3006
790,790,0,1992
791,791,0,2318
792,792,0,8540
793,793,0,b00c
794,794,0,2023
795,795,0,4c72
796,796,0,c184
797,797,0,0401
798,798,0,6010
799,799,0,0400
800,800,0,1110
801,801,0,7151
802,802,0,8118
803,803,0,00c2
804,804,0,0400
805,805,0,0002
806,806,0,4002
807,807,0,0d0c
808,808,0,8012
809,809,0,8c04
810,810,0,4d60
811,811,0,6406
812,812,0,2866
813,813,0,9212
814,814,0,24ec
815,815,0,f466
816,816,0,2879
817,817,0,0346
818,818,0,6112
819,819,0,9173
820,820,0,2f71
821,821,0,2493
822,822,0,4360
823,823,0,21c2
824,824,0,c484
825,825,0,4544
826,826,0,0602
827,827,0,4100
828,828,0,210a
829,829,0,f100
830,830,0,0101
831,831,0,0100
832,832,0,1306
833,833,0,0544
834,834,0,2193
835,835,0,0004
836,836,0,0402
837,837,0,4c30
838,838,0,2101
839,839,0,2444
840,840,0,4401
841,841,0,2220
842,842,0,2482
843,843,0,2f45
844,844,0,74c4
845,845,0,99fc
846,846,0,66d0
847,847,0,0cd0
848,848,0,4442
849,849,0,6c66
850,850,0,083d
851,851,0,7c18
852,852,0,3bb8
853,853,0,2540
854,854,0,dd52
855,855,0,2278
856,856,0,2f4c
857,857,0,0400
858,858,0,0142
859,859,0,0400
860,860,0,0042
861,861,0,0100
862,862,0,3b06
863,863,0,4000
864,864,0,0040
865,865,0,0000
866,866,0,0110
867,867,0,4010
868,868,0,4000
869,869,0,0112
870,870,0,0100
871,871,0,f341
872,872,0,4040
873,873,0,1004
874,874,0,9343
875,875,0,7006
876,876,0,8565
877,877,0,6540
878,878,0,3262
879,879,0,1159
880,880,0,3deb
881,881,0,d8f1
882,882,0,095b
883,883,0,a1d0
884,884,0,0410
885,885,0,3010
886,886,0,1040
887,887,0,4100
888,888,0,0001
889,889,0,0112
890,890,0,0000
891,891,0,8002
892,892,0,0100
893,893,0,600c
894,894,0,0148
895,895,0,4092
896,896,0,1104
897,897,0,81b0
898,898,0,2012
899,899,0,3021
900,900,0,0010
901,901,0,4000
902,902,0,8401
903,903,0,0001
904,904,0,d802
905,905,0,21f3
906,906,0,2400
907,907,0,0499
908,908,0,2951
909,909,0,3408
910,910,0,8243
911,911,0,675a
912,912,0,57a7
913,913,0,453b
914,914,0,b024
915,915,0,214c
916,916,0,e6bd
